,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
9,Paul Pierce,2009,BOS,0.472,13.3,0.697,0.321,0.065,0.141,0.171,0.303,0.497,0.629,0.375,0.369,0.399,0.414,0.41,0.025,21.0,0.917,0.103,0.444,0.0,0.0
10,Paul Pierce,2010,BOS,0.497,13.6,0.709,0.288,0.091,0.152,0.178,0.291,0.547,0.718,0.366,0.484,0.418,0.374,0.455,0.038,38.0,0.892,0.111,0.606,1.0,0.0
11,Paul Pierce,2011,BOS,0.443,14.4,0.693,0.262,0.071,0.162,0.199,0.307,0.476,0.67,0.317,0.389,0.35,0.366,0.469,0.025,20.0,0.88,0.136,0.351,0.0,0.0
12,Paul Pierce,2012,BOS,0.436,15.1,0.65,0.232,0.083,0.16,0.175,0.35,0.466,0.593,0.297,0.463,0.382,0.38,0.417,0.018,18.0,0.924,0.092,0.314,0.0,0.0
13,Paul Pierce,2013,BRK,0.451,15.7,0.579,0.237,0.074,0.129,0.138,0.421,0.507,0.639,0.34,0.424,0.449,0.373,0.474,0.031,19.0,0.946,0.073,0.545,0.0,0.0
14,Paul Pierce,2014,WAS,0.447,17.1,0.538,0.197,0.056,0.111,0.174,0.462,0.496,0.62,0.405,0.411,0.439,0.389,0.571,0.02,12.0,1.0,0.191,0.431,0.0,0.0
15,Paul Pierce,2015,LAC,0.363,19.6,0.39,0.068,0.055,0.121,0.146,0.61,0.445,0.407,0.318,0.438,0.517,0.31,0.493,0.003,1.0,0.96,0.112,0.222,0.0,0.0
16,Paul Pierce,2016,LAC,0.4,20.0,0.386,0.086,0.029,0.129,0.143,0.614,0.481,0.5,1.0,0.556,0.3,0.349,0.615,0.014,1.0,1.0,0.116,0.6,0.0,0.0
0,Mickael Pietrus,2003,GSW,0.416,14.0,0.545,0.329,0.082,0.065,0.069,0.455,0.484,0.605,0.421,0.2,0.25,0.333,0.525,0.074,16.0,0.943,0.543,0.386,1.0,0.0
1,Mickael Pietrus,2004,GSW,0.427,15.0,0.611,0.253,0.106,0.066,0.186,0.389,0.48,0.717,0.302,0.303,0.323,0.344,0.565,0.082,39.0,0.836,0.369,0.333,1.0,0.0
2,Mickael Pietrus,2005,GSW,0.404,14.5,0.579,0.325,0.067,0.026,0.16,0.421,0.467,0.618,0.357,0.182,0.254,0.318,0.637,0.081,31.0,0.893,0.625,0.355,1.0,0.0
3,Mickael Pietrus,2006,GSW,0.488,13.8,0.59,0.338,0.063,0.024,0.166,0.41,0.558,0.702,0.243,0.286,0.423,0.388,0.674,0.101,56.0,0.968,0.821,0.401,0.0,0.0
4,Mickael Pietrus,2007,GSW,0.439,15.3,0.527,0.318,0.026,0.018,0.165,0.473,0.51,0.618,0.2,0.429,0.359,0.361,0.606,0.127,40.0,0.894,0.77,0.397,0.0,0.0
5,Mickael Pietrus,2008,ORL,0.413,16.6,0.477,0.256,0.035,0.031,0.155,0.523,0.473,0.569,0.267,0.538,0.348,0.359,0.635,0.075,29.0,0.913,0.623,0.374,1.0,0.0
6,Mickael Pietrus,2009,ORL,0.432,18.6,0.432,0.189,0.02,0.033,0.189,0.568,0.502,0.637,0.545,0.389,0.382,0.379,0.564,0.046,22.0,0.862,0.448,0.387,3.0,0.0
7,Mickael Pietrus,2010,TOT,0.392,20.7,0.353,0.085,0.038,0.041,0.189,0.647,0.45,0.774,0.357,0.4,0.333,0.36,0.724,0.022,6.0,0.894,0.398,0.33,1.0,0.0
8,Mickael Pietrus,2010,ORL,0.391,22.0,0.243,0.061,0.035,0.009,0.139,0.757,0.393,0.571,0.5,0.0,0.313,0.391,0.727,0.009,1.0,0.794,0.345,0.267,0.0,0.0
9,Mickael Pietrus,2010,PHO,0.392,20.1,0.404,0.096,0.04,0.056,0.212,0.596,0.465,0.833,0.3,0.429,0.34,0.342,0.723,0.028,5.0,0.961,0.43,0.359,1.0,0.0
10,Mickael Pietrus,2011,BOS,0.385,20.2,0.326,0.152,0.011,0.019,0.144,0.674,0.489,0.537,0.333,0.8,0.41,0.335,0.535,0.033,8.0,0.951,0.44,0.413,1.0,0.0
11,Mickael Pietrus,2012,TOR,0.347,19.0,0.347,0.163,0.071,0.041,0.071,0.653,0.412,0.5,0.714,0.25,0.0,0.313,0.857,0.031,2.0,0.85,0.328,0.381,0.0,0.0
0,Kevinn Pinkney,2006,BOS,0.444,12.3,0.926,0.296,0.111,0.148,0.37,0.074,0.44,0.875,0.0,0.25,0.3,0.5,0.727,0.074,2.0,1.0,0.0,,0.0,0.0
0,Theo Pinson,2018,BRK,0.342,19.0,0.37,0.178,0.123,0.027,0.041,0.63,0.481,0.769,0.222,0.0,0.333,0.261,0.308,0.014,1.0,0.75,0.065,0.333,1.0,0.0
0,Scottie Pippen,2000,POR,0.451,14.1,0.688,0.295,0.096,0.064,0.233,0.312,0.5,0.619,0.316,0.395,0.453,0.344,0.61,0.037,18.0,0.828,0.215,0.325,3.0,0.0
1,Scottie Pippen,2001,POR,0.411,14.4,0.705,0.254,0.098,0.093,0.259,0.295,0.455,0.579,0.373,0.321,0.413,0.305,0.542,0.037,20.0,0.815,0.249,0.341,1.0,0.0
2,Scottie Pippen,2002,POR,0.444,13.2,0.777,0.273,0.109,0.116,0.28,0.223,0.489,0.62,0.431,0.478,0.389,0.286,0.542,0.027,15.0,0.737,0.263,0.286,1.0,0.0
3,Scottie Pippen,2003,CHI,0.379,15.5,0.657,0.207,0.064,0.136,0.25,0.343,0.435,0.586,0.333,0.316,0.4,0.271,0.5,0.007,1.0,0.769,0.146,0.286,0.0,0.0
0,Dexter Pittman,2010,MIA,0.333,4.7,1.0,0.667,0.333,0.0,0.0,0.0,0.333,0.5,0.0,,,,1.0,0.0,0.0,,,,0.0,0.0
1,Dexter Pittman,2011,MIA,0.468,4.3,1.0,0.479,0.468,0.053,0.0,0.0,0.468,0.644,0.295,0.4,,,0.659,0.17,15.0,,,,0.0,0.0
2,Dexter Pittman,2012,TOT,0.364,4.1,1.0,0.455,0.545,0.0,0.0,0.0,0.364,0.4,0.333,,,,0.0,0.0,0.0,,,,0.0,0.0
3,Dexter Pittman,2012,MIA,0.6,6.6,1.0,0.2,0.8,0.0,0.0,0.0,0.6,1.0,0.5,,,,0.0,0.0,0.0,,,,0.0,0.0
4,Dexter Pittman,2012,MEM,0.167,2.0,1.0,0.667,0.333,0.0,0.0,0.0,0.167,0.25,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0
5,Dexter Pittman,2013,ATL,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0
0,Zoran Planinic,2003,NJN,0.411,11.5,0.752,0.388,0.155,0.093,0.116,0.248,0.454,0.64,0.25,0.25,0.267,0.281,0.659,0.016,2.0,0.778,0.219,0.429,3.0,0.0
1,Zoran Planinic,2004,NJN,0.448,12.0,0.77,0.368,0.132,0.057,0.213,0.23,0.47,0.531,0.478,0.4,0.378,0.375,0.444,0.011,2.0,0.933,0.325,0.615,4.0,0.0
2,Zoran Planinic,2005,NJN,0.361,12.7,0.694,0.393,0.098,0.071,0.131,0.306,0.417,0.5,0.389,0.231,0.292,0.232,0.415,0.005,1.0,0.846,0.321,0.444,4.0,1.0
0,Tibor Pleiss,2015,UTA,0.44,6.1,0.92,0.52,0.24,0.04,0.12,0.08,0.478,0.462,0.167,1.0,1.0,0.0,0.909,0.12,3.0,,0.5,0.0,0.0,0.0
0,Marshall Plumlee,2016,NYK,0.533,3.8,1.0,0.633,0.233,0.0,0.1,0.0,0.533,0.684,0.286,,0.333,,0.5,0.167,5.0,,,,0.0,0.0
1,Marshall Plumlee,2017,MIL,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,,,,,1.0,0.333,1.0,,,,0.0,0.0
0,Mason Plumlee,2013,BRK,0.659,2.9,0.99,0.785,0.189,0.013,0.003,0.01,0.666,0.759,0.333,0.0,0.0,0.0,0.814,0.404,116.0,,0.0,,2.0,0.0
