,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
6,Scot Pollard,2006,CLE,0.423,7.3,1.0,0.577,0.038,0.077,0.308,0.0,0.423,0.467,0.0,0.5,0.375,,0.727,0.0,0.0,,,,0.0,0.0
7,Scot Pollard,2007,BOS,0.522,5.3,1.0,0.565,0.261,0.0,0.174,0.0,0.522,0.538,0.667,,0.25,,0.833,0.0,0.0,,,,0.0,0.0
0,Olden Polynice,2000,UTA,0.496,5.2,0.998,0.429,0.386,0.164,0.019,0.002,0.498,0.596,0.438,0.382,0.5,0.0,0.65,0.027,9.0,,0.0,,0.0,0.0
0,Quincy Pondexter,2010,NOH,0.406,12.7,0.722,0.233,0.239,0.067,0.183,0.278,0.423,0.571,0.372,0.417,0.303,0.36,0.564,0.044,6.0,0.944,0.76,0.368,0.0,0.0
1,Quincy Pondexter,2011,MEM,0.452,12.9,0.695,0.351,0.092,0.071,0.18,0.305,0.518,0.655,0.182,0.353,0.488,0.301,0.616,0.067,15.0,0.955,0.685,0.36,2.0,0.0
2,Quincy Pondexter,2012,MEM,0.428,15.4,0.492,0.274,0.1,0.057,0.06,0.508,0.463,0.561,0.433,0.176,0.333,0.395,0.485,0.07,18.0,0.983,0.586,0.449,2.0,0.0
3,Quincy Pondexter,2013,MEM,0.392,14.6,0.57,0.291,0.139,0.076,0.063,0.43,0.444,0.522,0.455,0.333,0.2,0.324,0.5,0.076,6.0,0.909,0.353,0.333,0.0,0.0
4,Quincy Pondexter,2014,TOT,0.421,16.6,0.454,0.242,0.101,0.047,0.065,0.546,0.478,0.583,0.311,0.381,0.414,0.373,0.629,0.038,16.0,0.912,0.414,0.465,2.0,0.0
5,Quincy Pondexter,2014,MEM,0.356,16.5,0.459,0.259,0.089,0.03,0.081,0.541,0.5,0.543,0.25,0.5,0.636,0.233,0.613,0.044,6.0,0.882,0.411,0.333,1.0,0.0
6,Quincy Pondexter,2014,NOP,0.449,16.6,0.452,0.234,0.106,0.054,0.058,0.548,0.468,0.603,0.333,0.353,0.278,0.433,0.636,0.035,10.0,0.919,0.415,0.521,1.0,0.0
7,Quincy Pondexter,2017,CHI,0.286,14.3,0.551,0.367,0.061,0.041,0.082,0.449,0.407,0.5,0.333,0.5,0.0,0.136,0.636,0.061,3.0,1.0,0.227,0.2,1.0,0.0
8,Quincy Pondexter,2018,SAS,0.5,10.9,0.69,0.431,0.121,0.103,0.034,0.31,0.575,0.68,0.429,0.333,0.5,0.333,0.652,0.069,3.0,1.0,0.5,0.333,0.0,0.0
0,Mark Pope,2000,MIL,0.437,10.2,0.831,0.444,0.07,0.077,0.239,0.169,0.483,0.635,0.2,0.273,0.353,0.208,0.719,0.056,8.0,1.0,0.667,0.25,0.0,0.0
1,Mark Pope,2001,MIL,0.396,11.8,0.725,0.363,0.11,0.055,0.198,0.275,0.485,0.576,0.4,0.2,0.444,0.16,0.813,0.088,8.0,1.0,0.68,0.176,0.0,0.0
2,Mark Pope,2003,DEN,0.5,4.5,1.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,,,,1.0,0.0,0.0,,,,0.0,0.0
3,Mark Pope,2004,DEN,0.333,1.7,1.0,0.667,0.333,0.0,0.0,0.0,0.333,0.5,0.0,,,,0.5,0.0,0.0,,,,0.0,0.0
0,Chris Porter,2000,GSW,0.389,9.6,0.989,0.267,0.236,0.225,0.261,0.011,0.393,0.647,0.248,0.32,0.328,0.0,0.682,0.04,13.0,,0.0,,0.0,0.0
0,Otto Porter,2013,WAS,0.363,14.7,0.769,0.198,0.121,0.121,0.33,0.231,0.414,0.611,0.364,0.273,0.367,0.19,0.655,0.011,1.0,0.75,0.476,0.1,0.0,0.0
1,Otto Porter,2014,WAS,0.45,14.3,0.734,0.225,0.13,0.084,0.292,0.266,0.491,0.75,0.333,0.455,0.377,0.337,0.759,0.056,22.0,0.943,0.423,0.364,1.0,0.0
2,Otto Porter,2015,WAS,0.473,15.2,0.628,0.244,0.077,0.084,0.225,0.372,0.536,0.674,0.364,0.45,0.472,0.367,0.68,0.028,18.0,0.969,0.36,0.385,2.0,0.0
3,Otto Porter,2016,WAS,0.516,16.3,0.575,0.197,0.1,0.09,0.189,0.425,0.576,0.709,0.513,0.5,0.507,0.434,0.665,0.027,21.0,0.966,0.402,0.423,1.0,0.0
4,Otto Porter,2017,WAS,0.503,15.4,0.646,0.177,0.124,0.145,0.2,0.354,0.537,0.707,0.445,0.422,0.525,0.441,0.632,0.021,19.0,0.913,0.182,0.456,1.0,0.0
5,Otto Porter,2018,TOT,0.465,16.7,0.602,0.152,0.109,0.149,0.191,0.398,0.504,0.663,0.571,0.458,0.374,0.406,0.605,0.009,6.0,0.875,0.27,0.42,0.0,0.0
6,Otto Porter,2018,WAS,0.457,16.3,0.602,0.172,0.106,0.152,0.172,0.398,0.515,0.684,0.596,0.448,0.355,0.369,0.642,0.009,4.0,0.923,0.313,0.4,0.0,0.0
