,Team,Payroll,year,salary_cap,portion,Tm
380,Denver,63444254.0,2012,58044000,1.09,DEN
381,Memphis,63054115.0,2012,58044000,1.09,MEM
382,Milwaukee,62410041.0,2012,58044000,1.08,MIL
383,Washington,59715539.0,2012,58044000,1.03,WAS
384,Portland,59442596.0,2012,58044000,1.02,POR
385,Charlotte,58122566.0,2012,58044000,1.0,CHH
386,Cleveland,54472190.0,2012,58044000,0.94,CLE
387,Sacramento,54421935.0,2012,58044000,0.94,SAC
388,Phoenix,54196264.0,2012,58044000,0.93,PHO
389,Houston,48048265.0,2012,58044000,0.83,HOU
390,Brooklyn,102589967.0,2013,58679000,1.75,BRK
391,New York,89072787.0,2013,58679000,1.52,NYK
392,Miami,80841617.0,2013,58679000,1.38,MIA
393,LA Lakers,77423614.0,2013,58679000,1.32,LAL
394,Dallas,75012158.0,2013,58679000,1.28,DAL
395,Chicago,73336893.0,2013,58679000,1.25,CHI
396,LA Clippers,73049774.0,2013,58679000,1.24,LAC
397,Golden State,72503122.0,2013,58679000,1.24,GSW
398,Memphis,71992885.0,2013,58679000,1.23,MEM
399,Oklahoma City,71653401.0,2013,58679000,1.22,OKC
400,Toronto,71561643.0,2013,58679000,1.22,TOR
401,Boston,70885503.0,2013,58679000,1.21,BOS
402,Minnesota,68564040.0,2013,58679000,1.17,MIN
403,New Orleans,67358651.0,2013,58679000,1.15,NOH
404,Indiana,67182414.0,2013,58679000,1.14,IND
405,Cleveland,66654061.0,2013,58679000,1.14,CLE
406,Denver,65782065.0,2013,58679000,1.12,DEN
407,Washington,64698822.0,2013,58679000,1.1,WAS
408,San Antonio,63115911.0,2013,58679000,1.08,SAS
409,Detroit,62387432.0,2013,58679000,1.06,DET
410,Portland,61260350.0,2013,58679000,1.04,POR
411,Charlotte,60395651.0,2013,58679000,1.03,CHH
412,Sacramento,59174155.0,2013,58679000,1.01,SAC
413,Atlanta,58998677.0,2013,58679000,1.01,ATL
414,Houston,57823063.0,2013,58679000,0.99,HOU
415,Orlando,56948031.0,2013,58679000,0.97,ORL
416,Utah,56911999.0,2013,58679000,0.97,UTA
417,Phoenix,55569468.0,2013,58679000,0.95,PHO
418,Milwaukee,54400846.0,2013,58679000,0.93,MIL
419,Philadelphia,51741312.0,2013,58679000,0.88,PHI
420,Brooklyn,87817289.0,2014,63065000,1.39,BRK
421,LA Clippers,85259447.0,2014,63065000,1.35,LAC
422,Dallas,84820225.0,2014,63065000,1.34,DAL
423,Cleveland,82592827.0,2014,63065000,1.31,CLE
424,New York,81369219.0,2014,63065000,1.29,NYK
425,Toronto,81317963.0,2014,63065000,1.29,TOR
426,Oklahoma City,80408520.0,2014,63065000,1.28,OKC
427,New Orleans,80012866.0,2014,63065000,1.27,NOH
428,LA Lakers,77546500.0,2014,63065000,1.23,LAL
429,Houston,76849302.0,2014,63065000,1.22,HOU
430,Miami,75813041.0,2014,63065000,1.2,MIA
431,Memphis,75158730.0,2014,63065000,1.19,MEM
432,Indiana,74793526.0,2014,63065000,1.19,IND
433,Golden State,73611166.0,2014,63065000,1.17,GSW
434,Sacramento,73379071.0,2014,63065000,1.16,SAC
