Full Name,Pos,cluster
Stephen Jackson,SF,Scoring Wing
Mike James,PG,Combo Guard
Dahntay Jones,SG,Shooting Wing
DeQuan Jones,SF,3-and-D Wing
Corey Maggette,SF,3-and-D Wing
Troy Murphy,PF,Offensive Center
Lamar Odom,PF,Offensive Center
Jerry Stackhouse,SG,Scoring Wing
DeShawn Stevenson,SG,Shooting Wing
Tyrus Thomas,PF,Offensive Center
Rasheed Wallace,PF,Offensive Center
Luke Walton,PF,Scoring Wing
Earl Watson,PG,Floor General
Gilbert Arenas,PG,Combo Guard
Raja Bell,SG,3-and-D Wing
Mike Bibby,PG,Combo Guard
Andrew Bynum,C,Defensive Center
Marcus Camby,C,Defensive Center
Baron Davis,PG,Floor General
Maurice Evans,SG,Shooting Wing
Jonny Flynn,PG,Floor General
T.J. Ford,PG,Floor General
Ryan Gomes,PF,3-and-D Wing
Larry Hughes,SG,Scoring Wing
Jared Jeffries,SF,Versatile Forward
Kenyon Martin,PF,Offensive Center
Brad Miller,C,Offensive Center
Mehmet Okur,PF,Offensive Center
Anthony Parker,SG,Shooting Wing
Michael Redd,SG,Shooting Wing
Quentin Richardson,SG,3-and-D Wing
Bobby Simmons,SF,3-and-D Wing
Amar'e Stoudemire,PF,Offensive Center
Ben Wallace,C,Defensive Center
Delonte West,SG,Combo Guard
Carlos Arroyo,PG,Floor General
Charlie Bell,SG,Scoring Wing
Jason Collins,C,Offensive Center
Joey Graham,SF,Versatile Forward
Yi Jianlian,PF,Offensive Center
Jamario Moon,SF,Versatile Forward
James Posey,SF,3-and-D Wing
Brandon Roy,SG,Scoring Wing
Al Thornton,PF,Versatile Forward
Rafer Alston,PG,Combo Guard
Chucky Atkins,PG,Combo Guard
Kelenna Azubuike,SG,3-and-D Wing
Devin Brown,SG,Shooting Wing
Erick Dampier,C,Defensive Center
Ricky Davis,SF,Scoring Wing
Michael Finley,SF,Shooting Wing
Jarvis Hayes,SF,3-and-D Wing
Zydrunas Ilgauskas,C,Defensive Center
Anthony Johnson,PG,Combo Guard
Morris Peterson,SG,3-and-D Wing
Quinton Ross,SG,Shooting Wing
Tim Thomas,PF,3-and-D Wing
Jamaal Tinsley,PG,Floor General
Ime Udoka,SF,3-and-D Wing
Jason Williams,PG,Floor General
Antoine Wright,SG,Shooting Wing
Brent Barry,SG,Scoring Wing
Mark Blount,C,Offensive Center
Bruce Bowen,SF,Shooting Wing
Greg Buckner,SG,Shooting Wing
Antonio Daniels,PG,Combo Guard
Yakhouba Diawara,SG,Shooting Wing
Francisco Elson,C,Offensive Center
Trenton Hassell,SG,3-and-D Wing
Tyronn Lue,PG,Combo Guard
Stephon Marbury,PG,Floor General
Cuttino Mobley,SG,Shooting Wing
Kareem Rush,PG,Shooting Wing
Wally Szczerbiak,SF,3-and-D Wing
Derek Anderson,SG,Scoring Wing
Darrell Armstrong,PG,Combo Guard
Juan Carlos Navarro,SG,Scoring Wing
Sam Cassell,PG,Combo Guard
Steve Francis,PG,Combo Guard
Pat Garrity,SF,3-and-D Wing
Anfernee Hardaway,SG,Scoring Wing
Matt Harpring,SG,Versatile Forward
Jason Hart,PG,Combo Guard
Damon Jones,PG,Combo Guard
Eddie Jones,SG,Shooting Wing
Donyell Marshall,SF,Offensive Center
Jeff McInnis,PG,Combo Guard
Ira Newble,SF,3-and-D Wing
Smush Parker,PG,Combo Guard
Kirk Snyder,SG,3-and-D Wing
Damon Stoudamire,PG,Combo Guard
Jacque Vaughn,PG,Combo Guard
Antoine Walker,PF,Versatile Forward
Bonzi Wells,SF,3-and-D Wing
Shareef Abdur-Rahim,SF,Versatile Forward
Doug Christie,SG,Scoring Wing
Speedy Claxton,PG,Floor General
Eddy Curry,C,Offensive Center
Jorge Garbajosa,PF,3-and-D Wing
Junior Harrington,PG,Combo Guard
DerMarr Johnson,SF,Shooting Wing
Brevin Knight,PG,Floor General
Raef LaFrentz,C,Offensive Center
Keith McLeod,PG,Combo Guard
Clifford Robinson,PF,Versatile Forward
Jalen Rose,SF,Scoring Wing
Eric Williams,SF,3-and-D Wing
Shandon Anderson,SG,3-and-D Wing
Ryan Bowen,SF,3-and-D Wing
Eddie Griffin,PF,Defensive Center
Jim Jackson,SF,Shooting Wing
Jumaine Jones,SF,Versatile Forward
Viktor Khryapa,SF,Offensive Center
Voshon Lenard,SG,Shooting Wing
Desmond Mason,SF,3-and-D Wing
Darius Miles,SF,Versatile Forward
Sergei Monia,SF,3-and-D Wing
Lamond Murray,SF,Versatile Forward
Jermaine O'Neal,PF,Defensive Center
Eric Piatkowski,SG,Shooting Wing
Eric Snow,PG,Combo Guard
Nick Van Exel,PG,Combo Guard
Keith Van Horn,SF,Versatile Forward
Chris Webber,PF,Offensive Center
David Wesley,SG,Scoring Wing
Kenny Anderson,PG,Combo Guard
Travis Best,PG,Floor General
Jason Collier,C,Offensive Center
Predrag Drobnjak,C,Versatile Forward
Kendall Gill,SG,Shooting Wing
Adrian Griffin,SF,3-and-D Wing
Tom Gugliotta,PF,Versatile Forward
